Field,Value,Order note
Project,Pokeboy PROTO-B1,OSD3358-1G-ISM 1 GB revision
Order status,RELEASED,PROTO-B1; design-review fixes applied and verified 2026-08-18
Board quantity,5,Bare-board first article
Assembly quantity,2,Assembly first article
Layers,4,
Dimensions,79.4 x 119.4 mm,Edge_Cuts centreline; 79.5 x 119.5 is the outer edge
Finished thickness,0.80 mm,+/-10 percent
Outer copper,1 oz,
Inner copper,1 oz,Confirmed with PCBWay 2026-08-17
Material,FR-4,Tg 150 C minimum
Surface finish,ENIG,RoHS
Solder mask,Black,Gang mask relief approved 2026-08-19: PCBWay removes dams under 0.22 mm at fine-pitch IC pads (0.5 mm QFN/WSON and J5 0.3 mm FFC); U1 BGA dams kept; vias stay tented
Silkscreen,White,
Minimum trace,0.15 mm,Narrowest track routed; only 0.15 and 0.40 mm exist
Minimum space,0.10 mm,Verified by DRC; clean at 0.100 mm and 428 violations at 0.127 mm
PCBWay track/spacing tier,4/4 mil (0.10 mm),Forced by spacing; tracks alone would allow 6/6 mil
Minimum via,0.45 / 0.20 mm,Pad / finished drill
Via annular ring,0.125 mm,Just under 5 mil; confirm with PCBWay at quote
Drill count,239 plated / 0 non-plated,233 vias at 0.20 mm plus 6 through-hole pads
Via treatment,Tented,Except test points
Impedance control,No,Maintain USB pair geometry
Bare-board class,IPC-A-600 Class 2,
Assembly class,IPC-A-610 Class 2,
BGA inspection,100 percent X-ray U1,Images required
Electrical test,Flying probe,Use the supplied IPC-356 netlist
Panelization,PCBWay standard,Do not place tabs at controls or card opening
Gerbers,Released,PROTO-B1 in fab/ and pokeboy-hw-PROTO-B1-gerbers.zip
Assembly side,Top only,All 111 footprints top-side; B.Paste near-empty
Placements,102,111 footprints less 3 DNP and 6 pad-only
Order config,See PCBWAY_ORDER.md,Field-by-field values for the PCBWay quote form
